concurrent,service_type,titre,corps,note
"Tallium Inc.","web","Mobile App Design & Dev for Drugstore Retailer","Everything went great, and we were completely happy with the results.","5"
"Tallium Inc.","web","UX/UI Audit & AI Consulting Services for SaaS Company","They challenged assumptions and helped us rethink parts of the product strategy.","5"
"Tallium Inc.","web","UI/UX Design, Development & Animation for Animation Studio","Tallium Inc. became the best partner we worked with this year.","5"
"Tallium Inc.","web","Mobile App Development for Retail Solutions Company","Overall, the collaboration was very well organized.","4.5"
"Tallium Inc.","web","PDF Viewer App Dev for Electronic Signature Solution Co","The team understood our vision and approach from the start.","5"
"Tallium Inc.","web","Custom Software Dev for Tourism Company","The quality and work ethic at Tallium are among the best I have experienced of all the partners we have worked with.","5"
"Tallium Inc.","web","API Development for Investment Banking Company","They aim to get a deeper understanding of our needs and feedback.","4.5"
"Tallium Inc.","web","Product Development Services for Bank","The main goal of the project is to attract new customers by providing a quick, convenient way to remotely become a client of the bank at any time of the day, by issuing the most optimal financial product. Stable expansion of the client portfolio and the possibility of product development. Assigned tasks are always performed on time and with high quality. We have been working with the Tallium's team since March 2022. We are deeply satisfied with the cooperation inasmuch as this is the team with a profound insight into technological processes. They are promptly assimilated into the specifics of banking and the network of banking systems. Especially worth noting is the high quality of work in a short time. Definitely recommend Tallium as a trustworthy partner. Everything is at the highest level.","5"
"Tallium Inc.","web","Software Development for International NGO","Tallium Inc. helped an international NGO build their student learning experience platform's frontend using GraphCMS, integrate it into their student management web app, and equip it with a WebOps framework. Tallium Inc. delivered the platform, which improved the client's impact metrics and user satisfaction ratings. The client appreciated the vendor's designs, product ownership, and strategic direction. They also lauded the vendor's communication and transparency throughout the process. They were open and transparent about deliverables, timelines, and potential creeps that we inevitably added. From the very beginning, our values and needs alignments were considered and their team applied. It was important for us to have an age & gender diverse team designing and developing our new platform and Tallium caught onto this early on. We loved the evolution of the designs post Youth (User) feedback but also the product ownership they gave and strategic direction they provided. Tallium performed well and I am grateful that they were transparent around changing priorities, timelines and impact of architectural choices. There were a couple of instances where non-approved technology choices would have or did lead to budget implications and in a non-profit environment, that's a potential issue to improve on.","5"
"Tallium Inc.","web","UI/UX Design for University","We hired Tallium Inc. to work on wireframes, UI designs and illustrations, for our new learning experience platform. The Tallium team would always first try to understand the business case of the problem we were trying to solve at different stages. They would then internally brainstorm on designs and would always present at least 2 or 3 different representations for us to select from on Figma. We would have weekly review calls with the team where they would walk us through the reasoning behind different designs and our team would share our views/preferences. The Tallium team was open different viewpoints, and would iterate accordingly until the desired option was identified. Throughout the design process, we would carry out testing with real users and the feedback was always good. The users navigate the screens with little to no difficulty. We had great, open communication lines between both teams, and would always communicate even when they could not make a meeting (e.g. a holiday or sick leave). The Tallium team would always be willing to adjust to make up for any lost time. They were always open to feedback and their ability to adapt was superb. Requested changes were always implemented swiftly.","4.5"
"Tallium Inc.","web","App Dev for Travel SaaS Company","Tallium Inc. has developed a web app for a travel SaaS company. They have held a discovery session, developed the front- and backend, and provided UI/UX designs. They have also conducted QA testing

Tallium Inc. has delivered the project in a timely manner. The client is very satisfied with the deliverables and impressed with the partnership. The service provider's team is efficient, hardworking, and communicative via Slack and Jira.

BACKGROUND
Please describe your company and your position there.
I'm the CPO of a SaaS company oriented towards the travel & hospitality industry, where we provide customers with booking tools for additional revenue through experiences and excursions.

OPPORTUNITY / CHALLENGE
For what projects/services did your company hire Tallium Inc., and what were your goals?
Developing the refined and user-friendly eco system needed for our customers required no small amount of expertise. Connecting the stakeholders of our industry requires tight project management across all applications where Tallium have provided invaluable support.

SOLUTION
How did you select this vendor and what were the deciding factors?
The choice came down to cost-effectiveness, competence and trust where we feel that Tallium have really delivered.

Describe the scope of work in detail, including the project steps, key deliverables, and technologies used.
From the scoping out of our dynamic web applications (based on Laravel/React) and the first design wireframes, Tallium have been able to advise all the way til completion and launch of our MVP.

How many people from the vendor's team worked with you, and what were their positions?
We have had the support of a project manager, a backend dev, a frontend dev, UX designer and QA tester.

RESULTS & FEEDBACK
Can you share any measurable outcomes of the project or general feedback about the deliverables?
Due to a very recent deploy we have so far only managed to complete performance testing and eagerly await the commercial results.

Describe their project management style, including communication tools and timeliness.
With a lot of the work being done remotely, communication through Slack, Jira and documentation provided through Google's tools have been sufficient to carry the work forward.

What did you find most impressive or unique about this company?
Their grit and willingness for timely delivery were impressive.

Are there any areas for improvement or something they could have done differently?
A few miscommunication errors and opinions voiced or not voiced with bad timing. Although working together over time often leads to learning what needs to be said and not.","5"
