concurrent,service_type,titre,corps,note
"Altar.io","mobile","AI Consulting & Dev for Translation Services Company","Altar.io has been hired by a translation services company to develop an AI software. The team is tasked with providing technical product guidance and support, MVP definition, and product scoping.

Altar.io has met the client's expectations with the scope plan and initial deliverables. The team has been flexible and aligned with the client's expectations. They have communicated effectively and responded to the client's questions thoroughly, and overall, the project is progressing well.","5"
"Altar.io","mobile","Custom Software Dev & Product Design for Property Mgmt Co","Altar.io has developed a mobile-first MVP for a property management company. The team has created a product vision and roadmap, defined the MVP, produced a budget, and designed the UX/UI.

Altar.io has completed the UX/UI design and prototypes, and the MVP will launch in a month. Furthermore, the team has a well-structured project management approach and is highly responsive. Overall, the team's approach to fleshing out the product and solution has given confidence to the client.","5"
"Altar.io","mobile","FinTech Software Development for Lending Company","Altar.io provides custom software development for a lending company. The team is specifically developing a fintech solution for the client based on their specifications and desired workflow.

Altar.io's work has improved the client's development efficiency by 60%-80%, helping them save time and money. Still, the team prioritizes quality over speed, so they would rather spend time doing things right the first time. Moreover, they communicate well and deliver on time and on budget.","5"
"Altar.io","mobile","Custom Software Dev for Research Company","Altar.io has developed and tested a custom software system for a research company using Python. The software recognizes dolphin echolocation in a natural marine environment. 

Altar.io has successfully completed the project's milestones and software tests. The team provides weekly updates and responds to questions quickly, showing excellent communication and understanding of the client's needs. Moreover, they're highly collaborative and great at sharing ideas.","5"
"Altar.io","mobile","Custom Software Development for Real Estate Company","Altar.io helped a real estate company build and understand their investment platform project. The team collaborated on conceptualization, roadmap, design creation, user and admin panel, and backend development.

Altar.io successfully helped the company understand their product's outcome and MVP cost. The team responsively communicated follow-ups, progress, and accomplishments through email and video calls. Above all, they provided the right people who perfectly addressed queries and worked with quality.","5"
"Altar.io","mobile","App Development Services for Cinema Data Agency","Altar.io developed an app for a cinema data agency. The team conducted a series of meetings to determine the product requirements. From there, their resources worked on developing the product for the client.

The product was compelling and more comprehensive than expected, thanks to Altar.io's commitment to the project. Their workflow was highly effective as they provided regular progress updates. The deliverables required minimal changes, and their resources genuinely cared about the product's success.","4.5"
"Altar.io","mobile","Product Discovery & MVP Dev for SaaS Startup","Altar.io was hired to assist a SaaS startup in developing their platform. They were tasked with assisting in the discovery phase, developing key technology and the MVP, and designing the UI/UX for the platform.

Altar.io helped the client establish a robust scope for their MVP, and all of the deliverables submitted were of high quality. In addition, they communicated updates regularly. The team's extreme competence and dedication to the client's success resulted in a seamless and trusting relationship.","5"
"Altar.io","mobile","No content available","oão who would lead us through the Discovery phase and delivery the final concepts and files. Finally we had the pleasure of being introduced to Rui who looks after the marketing and customer feedback who truly rounded off the experience.

#### RESULTS & FEEDBACK

**Can you share any measurable outcomes of the project or general feedback about the deliverables?**

The final outcome provided us with a razor focused scope for our MVP that we can use to start developing our platform. Every deliverable was beyond our explication. We are looking forward to continuing our relationship with Altar.io who will help develop our platform.

**Describe their project management style, including communication tools and timeliness.**

The professional was phenomenal, there was never a time we had to followup with Daniel and the team for an update as they were always communicating with us regularly.

**What did you find most impressive or unique about this company?**

It's hard to express in words how Daniel and the entire team truly feel as if they are part of your company. It is rare that an organization can create a feeling of not only extreme competence but even more importantly trust in such a short span of time. As a founder starting out, I was challenged, I was pushed and I was given support by Altar.io the same way my other co-founders have been throughout our journey.

At times we truly felt that Altar.io cared more about our success than maybe we did. Not only do they have a deep understanding in their field of software development, but they possibly have a deeper understanding of what a successful product should encompass. I can't recommend them enough; if you are at any stage of your journey you must reach out to Altar, you owe it to yourself.

**Are there any areas for improvement or something they could have done differently?**

None. They truly are a one-of-a-kind and exceptional organization.

#### RATINGS

5.0 

""I would give another start if Clutch let me.""

  * Quality

5.0 

Service & Deliverables

""Quality was beyond our expectations""

  * Schedule

5.0 

On time / deadlines

""On-time / Met every deadline.""

  * Cost

5.0 

Value / within estimates

""Extremely fair value. Worth every cent.""

  * Willing to Refer

5.0 

NPS

""Don't think twice to reach out to Altar to discuss your project.""","5"
"Altar.io","mobile","Web App MVP Dev for Social Networking Platform","Share 

  * Custom Software Development

  * $10,000 to $49,999 
  * Mar. - July 2021 



5.0 

Quality
     5.0 

Schedule
     5.0 

Cost
     5.0 

Willing to Refer
     5.0 

""The team approached our project with passion and never worried much about compensation.""

Apr 22, 2022

Owner, TodayTrend, LLC

Anonymous 

Verified

  * Other industries
  * Alexandria, Virginia
  * 1-10 Employees
  * Online Review 
  * Verified



Altar.io developed a web app MVP of a social networking platform. They gathered all the requirements, including the sitemap and user information, analyzed the target market, built the UI/UX designs, and more.

Altar.io delivered the product MVP, which is ready for complete development anytime. Though the collaboration happened remotely, it didn't hinder the team from delivering the client's goal and was responsive throughout the engagement. Their passion and efforts in going the extra mile were notable.

The client submitted this review online. 

#### BACKGROUND

**Please describe your company and your position there.**

I am the owner of TodayTrend, LLC. We operate Meetlax and todaytrend web applications.

#### OPPORTUNITY / CHALLENGE

**For what projects/services did your company hire Altar.io?**

Altar.io helped develop a product scope to guide our decisions and to prioritize best features and scope for the MVP.

#### SOLUTION

**How did you select this vendor and what were the deciding factors?**

We extensively searched for reliable and knowledgeable consultants and shortlisted about four out of 55 different consultants. After interviewing them, we decided to settle on Altar.io because they showed utmost care, professionalism, knowledge, and passion and cared more about the product than their own pockets.

**Describe the project in detail and walk through the stages of the project.**

After we reached an agreement with Altar.io, we did about ten shared session to elaborate and share our vision with them. They listened attentively and collected all the required information our wants, needs, and wishes. During shared sessions, Altar helped us develop a list of fundamental user stories (user centric first person textual description of product core features).

At then of the sessions, Altar.io experts consulted amongst themselves and at the end delivered""

  * an outstanding Stakeholders Analysis of the market
  * compelling User Stories
  * SITEMAP
  * UX wireframes
  * UI mockups
  * a Product Roadmap
  * a BPMN (Business Process Modeling Notation)
  * essentially a diagram method to model the steps of the core software flows
  * a development estimation



**How many resources from the vendor's team worked with you, and what were their positions?**

An amazing number of people got on our project, and each one of them completed a valuable piece of the project:

  1. Mr. Daniel C. R., a Co-founder of Altar, became the Product Co-Owner for the duration of the project. He truly treated the project as if it was his own and provided invaluable expertise as he was working on the product.
  2. Mr. Paolo D., another Co-founder at Altar, who has an amazing personality, became the Project Manager. He was the first one we talked to about the project, and his friendly demeanor and selfless feedback played a crucial role in our decision to pick their company.
  3. Mr. Caludia T. worked in the background of Software Architecture.
  4. Mr. Andre P. led the FE/UXUI of the project.


The entire team left a great impression.

#### RESULTS & FEEDBACK

**Can you share any outcomes from the project that demonstrate progress or success?**

The team succeeded in accomplishing an actionable and reliable MVP for Meetlax. Initially, we thought we knew what we were doing; however, the Altar.io took a very critical look at the product and poked many holes in it. They pointed out all the flaws in our ideas and they were able to direct us in a more cost-effective and a reliable path forward.

At the end, every was very straightforward, and we had no difficulty explaining the product with confidence . They went above and beyond to make sure the product looked fine. The MVP was ready for development in no time.

**How effective was the workflow between your team and theirs?**

Mr. Daniel Castro Ruivo made sure the product is ready on time despite many distracting suggestions we added. They were very responsive to our ideas and communication. The entire project happened virtually, smooth, and without any headaches. The team was on the top of everything.

**What did you find most impressive or unique about this company?**

They took the time to understand our product and provided invaluable feedback. The team approached our project with passion and never worried much about compensation. They sometimes removed features that would add more bucks to their pocket. Instead, enjoyed exploring the idea behind our product as if it was their own.

**Are there any areas for improvement or something they could have done differently?**

Of course, every company has room for improvement but I think they have done an amazing job in our case and I don't see much to suggest at this time.

#### RATINGS

5.0 

""Critical thinkers, honest, responsive, and passionate about their work.""

  * Quality

5.0 

Service & Deliverables

""They went above and beyond and treated the project as if it was their own.""

  * Schedule

5.0 

On time / deadlines

""They did everything they could to make sure they accommodate our schedule.""

  * Cost

5.0 

Value / within estimates

""They might seem a bit pricy; however, they quality of their work exceeds the material compensation. They were fair with the product scope price.""

  * Willing to Refer

5.0 

NPS

""They are honest, straightforward, and are there to help steer ideas in the right direction when they see potential in it. They are worth the money.""","5"
"Altar.io","mobile","Custom Software Dev for E-Commerce SaaS Platform","Share 

  * Custom Software Development Other IT Consulting and SI

  * $10,000 to $49,999 
  * June - Nov. 2021 



5.0 

Quality
     5.0 

Schedule
     5.0 

Cost
     5.0 

Willing to Refer
     5.0 

""Their team completed everything on time, communicated effectively, and went above and beyond.""

Jan 10, 2022

CEO, E-Commerce SaaS Platform

Liam J.E Gerada 

Verified

  * Other industries
  * San Francisco, California
  * 1-10 Employees
  * Online Review 
  * Verified



To prepare for a pilot release, a SaaS firm hired Altar.io for custom software development support. The team helped the client implement key alterations for their product.

Altar.io did an outstanding job in delivering what was needed -- in fact, the core deliverables exceeded expectations. The team worked efficiently, completing every task on time while demonstrating tremendous dedication to their craft and the project all throughout. The workflow was seamless, too.

The client submitted this review online. 

#### BACKGROUND

**Please describe your company and your position there.**

CEO for a SaaS firm.

#### OPPORTUNITY / CHALLENGE

**For what projects/services did your company hire Altar.io?**

We began working with Altar as we underwent core product alterations in preparations for our pilot releases.

#### SOLUTION

**How did you select this vendor and what were the deciding factors?**

We shortlisted some of the world's best software developers/consultants with proven and vetted experience, Altar was the best across all categories and was easily a top choice simply due to the interest they showed in collaborating with us on a long term basis. We aligned almost instantly.

**Describe the project in detail and walk through the stages of the project.**

Altar is consistent and is an absolute pleasure to work with. Everyone we have had the pleasure of working with at Altar is focused, and driven to execute core product goals, and are some of the brightest minds across their respective industries. The core deliverables were beyond anything we expected. A truly world-class team of product enthusiasts.

**How many resources from the vendor's team worked with you, and what were their positions?**

We worked with some of Altar's very best, Daniel, João, Margarida, Rui, Paolo, and many more assisted us throughout numerous product discovery phases and are each some of the most talented and driven people I have had the pleasure of getting to know. A truly exceptional team!

#### RESULTS & FEEDBACK

**Can you share any outcomes from the project that demonstrate progress or success?**

The outcome of our work with Altar was outstanding. We look forward to welcoming them into further projects.

**How effective was the workflow between your team and theirs?**

Their team completed everything on time, communicated effectively, and went above and beyond. The love and passion they showed for their work was clear every step of the way.

**What did you find most impressive or unique about this company?**

We aprreciated the time they took to navigate and understand our project and the overall investment they took to work with us on our mission to a greater capacity. We felt aligned the minute the engagement started and are excited to welcome them as one of our most trusted partners.

**Are there any areas for improvement or something they could have done differently?**

Altar are flawless.

#### RATINGS

5.0 

""One of our most trusted and well established partners. A talented, passionate world class team of individuals!""

  * Quality

5.0 

Service & Deliverables

  * Schedule

5.0 

On time / deadlines

  * Cost

5.0 

Value / within estimates

  * Willing to Refer

5.0 

NPS","5"
