concurrent,service_type,titre,corps,note
"Memory Squared","mobile","Platform & Marketplace for Food Service Business Management","A food service business management platform hired Memory Squared for custom software development. They're tasked with building a platform from scratch with e-commerce and marketplace functionalities. The team client was most impressed by the Memory Squared team's personal involvement in the project. The client described the collaboration as the vendor taking care of their entire business and not just the technology side of the project. The client submitted this review online. #### BACKGROUND **Please describe your company and your position there.** As a Sales and Marketing Manager I'm responsible for overseeing the project from a consumer's point of view. I'm working with the Memory Squared team on the marketing functionality and how to make the sales platform more user-friendly. I'm also discussing with the Memory Squared team how to balance the platform between maximum usability and efficiency for the users. #### OPPORTUNITY / CHALLENGE **For what projects/services did your company hire Memory Squared, and what were your goals?** Flambia is an innovative platform designed to revolutionize food service business management, but most importantly to allow consumers to order fully personalized food, accurately collect dietary data and achieve their goals. Memory Squared is the software house responsible for providing the development team to create and develop the platform from scratch as part of the partnership. While Flambia as an organization has great know-how in the areas of food production, marketing, and gastronomy management, we decided to use an external software house in the early stages of product development to provide us with expertise and a team, without closing the way to take over in-house development in the future. #### SOLUTION **How did you select this vendor and what were the deciding factors?** Memory Squared was recommended by one of our board members and they convinced us with a flexible team development model and the CEO's personal commitment. **Describe the scope of work in detail, including the project steps, key deliverables, and technologies used.** The platform consists of several areas and products, which were first identified and structured in the Product Discovery process. Then the overall architecture of the solution was designed and the technology stack was defined. Within 2 months of the project's launch, two dedicated teams were built, working in parallel - one on ERP+e-commerce functionalities and the other on Marketplace functionalities. To speed up the creation of the MVP, the UX/UI work took place in parallel with the initial development work. At the time of writing the review, we have MVP solutions in place in both areas. Further development is provided in scrum-based sprints. The teams are well-communicated with each other, and project management is entirely on the Memory Squared side with ongoing reporting of progress and constant backlog modelling typical for young products. **How many people from the vendor's team worked with you, and what were their positions?** 2 design and development teams, 5 specialists in each (Designer, Fullstack / Frontend / Backend / Mobile Developers), plus PM. #### RESULTS & FEEDBACK **Can you share any measurable outcomes of the project or general feedback about the deliverables?** 2 interconnected, dedicated development teams were put in place and integrated into our organizational structure in about 2 months. 2 production deployments, on 2 platforms each (web + hybrid mobile) delivered in a total time of 7 months. **Describe their project management style, including communication tools and timeliness.** Project management of the technology side (repository, codebase, code review, testing) was done on Memory Squared's side. For the business and organizational side the team was invited into our organizational tools - mostly ClickUp. For their needs, they offered to do custom integrations of their workflow with our system. **What did you find most impressive or unique about this company?** Super contact and personal involvement of the entire organization. They seem to take care not only of the technology side but of our entire business. **Are there any areas for improvement or something they could have done differently?** At this point, we have no objections","5"
"Memory Squared","mobile","Mobile App Design & Development for Family Archive Company","Memory Squared has designed and developed a genealogy and family memory app for iOS and Android for a family archive company. The app includes family trees, user profiles, and photo and memory upload features. Memory Squared has successfully delivered the MVP, and the client is now preparing for a public launch. The team has been easy to work with, and their communication has been excellent. They've responded well to feedback and have been proactive in suggesting improvements. The client submitted this review online. #### BACKGROUND **Please describe your company and position.** I am the Founder of Rooted Memories **Describe what your company does in a single sentence.** Rooted Memories is a private family archive app that allows families to build a shared family tree and preserve their photos, and stories for generations. #### OPPORTUNITY / CHALLENGE **What specific goals or objectives did you hire Memory Squared to accomplish?** * Create and launch a user friendly mobile app that enables families to build, manage and collaboratively grow family trees, preserve memories and invite relatives to contribute. * Design an intuitive family-tree experience that makes preserving and sharing family memories simple for users of all ages. * Build a reliable and scalable technical foundation that can support the product as its features and user base grow. #### SOLUTION **How did you find Memory Squared?** Clutch Site **Why did you select Memory Squared over others?** * High ratings * Pricing fit our budget * Good value for cost * Company values aligned **How many teammates from Memory Squared were assigned to this project?** 6-10 Employees **Describe the scope of work in detail. Please include a summary of key deliverables.** Memory Squared designed and developed Rooted Memories, a private family memory and genealogy app for iOS and Android. The project included the UX/UI design and development of the app, including interactive family trees, user profiles, invitations and account claiming, photo and memory uploads, galleries, captions and the backend needed to support it. Since the original MVP, I've continued working with Memory Squared to improve and expand the app. This has included performance improvements, account and media management, notifications, memory tagging, subscriptions and free trials, analytics and an admin panel. The main goal has been to turn my idea for Rooted Memories into a reliable, easy to use app that is ready for release on the App Store and Google Play, with a good base that I can continue adding to over time. #### RESULTS & FEEDBACK **What were the measurable outcomes from the project that demonstrate progress or success?** Successful beta release of the MVP, soon to be followed by a successful public launch. Key indicators so far have included completion of onboarding and phone OTP authentication, creation of family trees, adding members and relationships, photo/caption uploads, personal/family feeds and invited user participation. **Describe their project management. Did they deliver items on time? How did they respond to your needs?** They have been very easy to work with throughout the project. Communication has always been good, they respond well to feedback and have taken the time to understand what I'm trying to build as well as suggested improvements if I have gone slightly off track or needed assistance. Everything has been managed well and I've always felt involved in the process. Deadlines have constantly been met and delivered on or before agreed timelines. **What was your primary form of communication with Memory Squared?** * Virtual Meeting * Email or Messaging App **What did you find most impressive or unique about this company?** The thing that has impressed me most is how much they care about the product. They haven't blindly built what I ask for, they take the time to understand the idea and will suggest better ways of doing things when they see them. It feels like they want the app to succeed, rather than it just being a ticket order. **Are there any areas for improvement or something Memory Squared could have done differently?** Nothing comes to mind. There have obviously been small issues and changes along the way, which you'd expect with any project, but whenever something has come up they've been quick to sort it. Overall I've been very happy with how they've handled the project. This has been my first project and I've been surprised at how easy the process has been made for me throughout.","5"
"Memory Squared","mobile","Web Portal & Mobile App for Forestry Analytics Company","Memory Squared developed a web portal and mobile app for a forestry analytics company. They created a product requirements backlog, designed the UX/UI with a Figma prototype, and delivered the source code. Memory Squared delivered a functional web portal and mobile app with a solid infrastructure. The team's project management was professional, and they conducted thorough research to understand the client's needs. Their communication was clear, fast, and effective, and they followed up on feedback. The client submitted this review online. #### BACKGROUND **Please describe your company and position.** I am the Project Manager of Clear Timber Analytics **Describe what your company does in a single sentence.** Clear Timber Analytics is a leader in AI-driven LiDAR analytics, delivering high-resolution insights for both forestry and urban vegetation management. With successful projects across Europe, Africa, and Oceania, we have developed advanced tree classification, canopy density mapping, and risk assessment models that support sustainable forest management and urban tree inventories. #### OPPORTUNITY / CHALLENGE **What specific goals or objectives did you hire Memory Squared to accomplish?** * Development of a functional web portal and mobile app, serving as a guidance tool for tree maintenance companies #### SOLUTION **How did you find Memory Squared?** * Online Search * Clutch Site **Why did you select Memory Squared over others?** * High ratings * Good value for cost * Company values aligned * Professional and swift communication **How many teammates from Memory Squared were assigned to this project?** 2-5 Employees **Describe the scope of work in detail. Please include a summary of key deliverables.** Product requirements backlog, including functional details and integration specifications for development handover Detailed UX/UI design, including an interactive Figma prototype for all user scenarios designed in the iterative and collaborative process, including Customer feedback Release of a fully functional web and mobile application, including handover of the source code and documentation #### RESULTS & FEEDBACK **What were the measurable outcomes from the project that demonstrate progress or success?** A functional web portal and mobile application. With an infrastructure that is solid and built for future feature expansions. Memory Squared has been absolutely phenomenal at implementing feedback and understanding our needs, that did slightly change throughout the course of the project. Our customer has, because of the quality delivered in terms of our proprietary software and Memory Squared's developed portal and app, been interested in future project phases since this project is running into its finale **Describe their project management. Did they deliver items on time? How did they respond to your needs?** Project management has been very professional, and exceeded our expectations. Even though vegetation management was not a business they had a lot of experience in, Memory Squared did their research and managed to ask the right questions to make sure this project turned into a success. Key pillars thus were clear, fast and effective communication. But also quality follow-up of feedback and requests. **What was your primary form of communication with Memory Squared?** * Virtual Meeting * Email or Messaging App **What did you find most impressive or unique about this company?** Their structured and professional way of handling a variety of projects. Even though there was a significant distance between our company HQ and Memory Squared's, it felt to us like they were based around the corner. **Are there any areas for improvement or something Memory Squared could have done differently?** Nothing that we can think of. We are sincerely happy with having found Memory Squared. We could not have brought this project to a success without them, considering the budget and time constraints that we had to deal with.","5"
"Memory Squared","mobile","Mobile App Design & Dev for GPS Sports Watch Manufacturer","Memory Squared developed an iOS and Android app for a GPS sports watch manufacturer. The app communicated with the client's GPS sports watch over BLE, displaying the user's stats and tracks on maps. Memory Squared completed the app on time, following the client's specifications. The team communicated excellently throughout the project, meeting the client in person ahead of the project and providing regular status updates via video calls. The client also praised the team's responsiveness. The client submitted this review online. #### BACKGROUND **Please describe your company and position.** I am the CEO of UNA Watch **Describe what your company does in a single sentence.** Una Watch manufacture modular, repairable GPS sports watches. #### OPPORTUNITY / CHALLENGE **What specific goals or objectives did you hire Memory Squared to accomplish?** * Mobile App Design and Development for sports watch * Architecture of communication between the device, mobile app and backend including BLE integration, * Backend Development * Administrators Panel Development * Integrations #### SOLUTION **How did you find Memory Squared?** * Online Search * Clutch Site **Why did you select Memory Squared over others?** * High ratings * Close to my geographic location * Pricing fit our budget * Great culture fit * Company values aligned * We liked that the team are all in one office **How many teammates from Memory Squared were assigned to this project?** 2-5 Employees **Describe the scope of work in detail. Please include a summary of key deliverables.** Memory Squared were tasked with developing Una Watch's iOS and Android mobile apps. The app communicates with our GPS sports watch over BLE, displaying the user's stats and tracks on maps. It also links with the Strava API. Memory Squared took our initial concept designs, and created a fresh UI design before the app was built. Memory Squared also built a developer portal for our third party SDK. #### RESULTS & FEEDBACK **What were the measurable outcomes from the project that demonstrate progress or success?** The app was completed on-time following our specifications. Communication was excellent throughout the project. We enjoyed meeting the team in person ahead of commencing the project and then we had regular status updates by video call. **Describe their project management. Did they deliver items on time? How did they respond to your needs?** Memory Square delivered on time and communicated problems well and early. They were very responsive and actioned any feedback we provided. **What was your primary form of communication with Memory Squared?** * In-Person Meeting * Virtual Meeting * Email or Messaging App **What did you find most impressive or unique about this company?** We liked the fact that they are a small, but very capable team, all based in one office. This meant we could visit the team in person when necessary. The team seem to have a great rapport amongst each other with UI, back-end and front-end developers all working together well. **Are there any areas for improvement or something Memory Squared could have done differently?** No","5"
"Memory Squared","mobile","Custom Software Development & UX/UI Design for AI Company","Memory Squared has designed and developed an automation workflow studio for an AI company's platform. The team is responsible for building the software using Java, RabbitMQ, and the client's existing APIs. Memory Squared has delivered functional software that meets the client's requirements. The team adheres to deadlines, stays on budget, manages the project using Productive, and communicates through Slack and Loom. Their engagement and flexibility regarding feedback have impressed the client. A Clutch analyst personally interviewed this client over the phone. Below is an edited transcript. #### BACKGROUND **Introduce your business and what you do there.** I'm a department manager at Go Autonomous, an AI company facilitating B2B transactions for unstructured data. #### OPPORTUNITY / CHALLENGE **What challenge were you trying to address with Memory Squared?** We wanted to build a new part of our platform, but we had resource constraints as a startup. We decided to look for outside help for this project. #### SOLUTION **What was the scope of their involvement?** Memory Squared has helped us design and develop a new part of our platform. We started with a discovery phase, and there was a little bit of back-and-forth revising the scope. Once we finalized the scope, we had a kickoff meeting with their development team and our development team. From there, we've let Memory Squared do their thing. We've provided them with a document outlining the functionalities we want in the workflow builder. Memory Squared has built a workflow studio that allows customers to set up automations related to the communications we help transact. It also serves as a platform to facilitate self-serve integrations. For this project, Memory Squared has called our existing APIs. The key technologies they've used include Java and RabbitMQ. **What is the team composition?** We've worked with four people: Mateusz, the CEO; Adam, the UX designer; Konrad, the frontend developer; and a backend developer. **How did you come to work with Memory Squared?** We were talking to other companies, but wanted to work with a smaller development company. I gave ChatGPT examples of companies I was chatting with and described the type of engagement I was looking for. ChatGPT recommended Memory Squared. **What is the status of this engagement?** We've been working with them since April 2025, and our relationship is ongoing. #### RESULTS & FEEDBACK **What evidence can you share that demonstrates the impact of the engagement?** We're still tweaking the workflow studio to make it production-ready. The platform is a bit complicated to set up, but it's working end-to-end. We've tested it, and it works. We still need to move some production customers onto it. Memory Squared has delivered all the functionalities we wanted. There have been some bugs, but nothing too significant. They've handled them extremely timely. **How did Memory Squared perform from a project management standpoint?** They've met deadlines and stayed on budget. It took them around a month to develop the workflow studio. Then, we were given a walkthrough when they had the final deliverable, and then there was a back-and-forth of any edits, leading to the final sign-off. We've shared a conference article with them and used Productive for project management. They contact us via Slack whenever they have questions. For design work, Adam and I exchange Loom videos. **What did you find most impressive about them?** Memory Squared has been super timely in prepping for the engagement. They've asked very engaged questions. Regarding feedback, they've been very flexible in what we do with them. **Are there any areas they could improve?** It would be nice to get more feedback as things are progressing. We have a structure where they can give us a heads-up when things go off track. Still, it would be good to have more updates on a weekly basis. However, this isn't critical. **Do you have any advice for potential customers?** Be prepared with what you want. Having a very long and detailed document explaining what we want to achieve has worked well for us. As long as you know what you want, the engagement will go perfectly.","4.5"
"Memory Squared","mobile","Mobile App Development Services for Fitness Industry Company","Memory Squared provides mobile app development services for a fitness industry company. The team has taken over the project from the previous company and is now working to bring the app to full functionality. Memory Squared has successfully launched the app, and the client is happy with the results. The team has an excellent project management approach delivering all requirements on time and being quick to respond to the client's messages and needs. They are also friendly and easy to work with. The client submitted this review online. #### BACKGROUND **Please describe your company and position.** I am the CEO of a fitness industry company. **Describe what your company does in a single sentence.** Fitness industry mobile app #### OPPORTUNITY / CHALLENGE **What specific goals or objectives did you hire Memory Squared to accomplish?** * Taking over the project from the previous company and bringing the application to full functionality #### SOLUTION **How did you find Memory Squared?** Clutch Site **Why did you select Memory Squared over others?** * Pricing fit our budget * Great culture fit * Good value for cost * Company values aligned **How many teammates from Memory Squared were assigned to this project?** 2-5 Employees **Describe the scope of work in detail. Please include a summary of key deliverables.** The application was taken over at a critical moment when the original team was ready to release the project, while the app's functionality was completely misaligned with all initial assumptions. **Memory Squared faced a significant challenge** of bringing all algorithms to proper functionality. They were working with code that wasn't their own, which further complicated their efforts. Finally, after numerous collaborative discussions and tests, the application is now available on the market and enjoys great popularity. **The algorithms work BETTER than I could have ever imagined**. #### RESULTS & FEEDBACK **What were the measurable outcomes from the project that demonstrate progress or success?** When handing over the application project to Memory Squared, I required them to fix the entire application and bring it to full functionality in accordance with the project specifications. **Describe their project management. Did they deliver items on time? How did they respond to your needs?** The response to my messages and needs was very quick. Usually, I received answers on the same day, and by the next day, I had all the details outlined. I consider the project management to be outstanding - all requirements were delivered on time, and sometimes even ahead of schedule. **What was your primary form of communication with Memory Squared?** * In-Person Meeting * Virtual Meeting * Email or Messaging App **What did you find most impressive or unique about this company?** Definitely the atmosphere and the friendly, close-knit team. For these guys, there's nothing they can't create - truly! My vision = an in-depth explanation from two people, covering all risks and benefits - it's incredible how much knowledge they possess. **Are there any areas for improvement or something Memory Squared could have done differently?** Definitely not. They offered me more than I expected from this team.","5"
"Memory Squared","mobile","Mobile App Rebuild & Redesign for Software Solutions Company","Memory Squared has rebuilt an Android and iOS app from scratch for a custom software solutions company. The team has used React Native, created the client's app backend, and is currently building its frontend. Memory Squared's efforts have received positive feedback from the client. The team has exceeded the client's expectations of an app development team. Moreover, Memory Squared has been thorough, patient, and quick to respond to feedback and produced fantastic work throughout the engagement. A Clutch analyst personally interviewed this client over the phone. Below is an edited transcript. #### BACKGROUND **Introduce your business and what you do there.** I'm the owner of a Wellness & Fitness app. #### OPPORTUNITY / CHALLENGE **What challenge were you trying to address with Memory Squared?** We needed to rebuild an existing mobile app. #### SOLUTION **What was the scope of their involvement?** Memory Squared has rebuilt our mobile app from the ground up. We initially provided them with the legacy app and any documentation. We exchanged emails and had calls to ramp them up on the project. We walked them through a legacy app demo to familiarize them with everything. We discussed this in detail and put together a statement of work. We are now finishing the frontend. Memory Squared has built the app using React Native, which works on iOS and Android. **What is the team composition?** We worked with Mateusz, their CEO, Designer, Adam, their backend developer, Bartłomiej, and two frontend developers, Konrad and Szymon. **How did you come to work with Memory Squared?** We found them on Clutch and had an interview with Mateusz. We had a good feeling about Memory Squared; they seemed sincere and hardworking, and their reviews backed up what we gathered in the interview. **How much have you invested with them?** We've spent about $30,000. **What is the status of this engagement?** We started working together in September 2024, and the engagement is ongoing. #### RESULTS & FEEDBACK **What evidence can you share that demonstrates the impact of the engagement?** Although our app isn't live yet, Memory Squared has gone above and beyond what we could ask for in an app development team. We have worked with different software companies, and Memory Squared is head and shoulders above anyone else we've worked with. They're fantastic and a dream to work with. **How did Memory Squared perform from a project management standpoint?** We're very detail-oriented and do extensive testing to provide feedback. Memory Squared has been very patient and quick to respond. They're thorough and precise in their responses, which is very appreciated. Memory Squared is excellent with communication. We predominantly use email and Zoom calls. **What did you find most impressive about them?** They're a kind, hardworking team that produces excellent work. **Are there any areas they could improve?** No, there's nothing they can improve on. **Do you have any advice for potential customers?** Prepare to enjoy the experience because Memory Squared is wonderful.","5"
"Memory Squared","mobile","Mobile App Development for Robotic Vending Machines Company","The team sets expectations, asks questions to understand what we need, and is thorough when completing a project.

Memory Squared has developed a mobile app for iOS and Android for a robotic vending machines company using Java. The team is currently developing a web app and optimizing the client's website.

Memory Squared has successfully launched the app, promptly generating around 70 downloads. The team delivers everything on time and within budget, is professional, honest, and hardworking, and maintains communication with the client through Google Docs, emails, Google Slides, and WhatsApp.

I'm the VP of business development at SweetRobo.

We needed help with mobile and web app development.

Memory Squared has built our mobile app for iOS and Android using Java. They are also currently developing our web app and optimizing our website.

We work with 4-5 people, including Matheus, who was the CEO and product designer, the CTO, Adam, and other two teammates.

I found Memory Squared on Clutch and had a good feeling about them. The team made it easy to contact them, and we had a very informative initial call. We had 3-4 calls until I decided to go with them. After every call, they sent me a detailed recap email, which was great.

We've spent around $60,000.

We have been working together since May 2024, and the engagement is ongoing.

We've just launched the app and already have around 70 downloads.

The team delivers on time and within budget and communicates well with us. We use Google Docs, emails, Google Slides, and WhatsApp.

I want to give a shout-out to Mateusz. He is highly professional, dedicated, honest, and probably one of the most hardworking people I have ever met.

The team sets expectations, asks questions to understand what we need, and is thorough when completing a project.

It would be good to have a longer trial for the apps to implement fixes.

Not really.","5"
"Memory Squared","mobile","UI/UX Design for Imaging Company","The work was very well organized, and they communicated how the work would look and how long it would last.

Memory Squared provided UI/UX design services for an imaging company using Figma. The team built a clickable mock-up of a platform between museologists and users that enabled users to image historical objects.

Memory Squared's work was showcased at three conferences, and the feedback was very positive. The team's project management was excellent; they communicated via email and weekly meetings and had weekly sprints. They were very flexible, and the visuals they created for the client were very well done.

I'm the CEO and co-founder of Muotech. We do imaging of objects using cosmic particles.

We needed help with UI/UX design.

Memory Squared was subcontracted for a specific task: to create a clickable mock-up for the platform we were developing. This was a client/user platform between museologists and users who could image historical objects and artifacts. Figma was the main technology they used.

We worked with three teammates: the CEO and two designers.

We did a Google search and market analysis because the funds for this task were from a grant we received. We had to ask for the offers officially. Memory Squared was one of the good companies we found, and the communication was very good from the start. Later on, we learned that they were partners of the organization that gave us the grant. We didn't have to put any money from ourselves; the organization paid them straight away.

We spent €10,000.

We worked together from June-October 2024.

We participated in three conferences where we showed the platform made by Memory Squared, and the feedback was very positive. We want to follow up with them when we get another part of the grant we won; we'd like to finalize the project using Memory Squared's specialization to finish the product.

Project management was very good. Everything was sharp and on time; there were no delays. If they needed to ask something, they did it immediately through an email exchange. We communicated via email and had weekly sprints and meetings. We knew what was going to happen every week and what results they would come with. If there were any corrections, they were done within two days, and then the work moved forward.

All of them exceeded our expectations. The work was very well organized, and they communicated how the work would look and how long it would last. Whenever we needed something more, they were very willing to add those things without any problem. It was a very good cooperation.

We have our own branding. Once we sent our logo and what we created, the visuals Memory Squared created for us were very well done. When we saw the design they made, we were very happy with how they used our materials to serve the platform. I thought we would spend a lot of time on that specific point, but we went with the first version because it was very well-matched.

Moreover, I was surprised by how flexible they were. At that time, they were working on no other project, so the team we were working with was purely focused on us.

They were very flexible, so no improvement was needed. When they grow, I'd like them to keep this focus on one company because I've worked with different companies, and they lose focus when they take on too many projects at once.

Describe the project you want to do with Memory Squared in as much detail as possible. If something isn't said, the work will be extended. We had a couple of hours to brainstorm in the beginning where we got asked unexpected questions, and they did their research on us. I could see they already had experience, so my tip is to expose the project in detail so the work will move fast.","5"
"Memory Squared","mobile","Mobile App Design & Dev for Consulting & Product Mgmt Co","Memory Squared has been very on-point and flexible.

Memory Squared has developed a mobile app for a consulting and product management company. The team has improved the client's UX design and developed the app, which is functional on both iOS and Android.

Memory Squared is an incredible communicator, and their work has been on-point. The team is punctual, flexible, friendly, and solutions-oriented, and they've become a reliable partner. They're also great at sticking to schedules and use Figma, Asana, and Google Workspace to collaborate.

I'm the CEO of 28o8 Divisions & Ventures.

We wanted to create a new mobile app.

Memory Squared has developed our mobile app, which is functional on both iOS and Android. We already had a concept and a prototype design, but their team still has been improving the UX design, although there wasn't much to improve. Memory Squared has also helped us develop the frontend and the backend. I don't know much about technology, but I think they're using React. Moreover, they've developed the API integrations.

The project is almost complete. Currently, we're basically just waiting on Apple to accept it into the App Store. Apple has provided feedback regarding required small changes.

We're working with around six teammates from Memory Squared. Mateusz (CEO & Product Designer) has been in charge of coordinating everything, so I've mainly been in touch with him. Still, there are others working on the app.

I found them on a website that had good reviews about Memory Squared. Still, we wrote to seven different companies, and we decided to go with Memory Squared after a call with Mateusz. They seemed really motivated, interested in the project, and understanding of the concept we had developed, so we decided to go with them even though they were more expensive than some competitors.

We've spent close to €100,000 (approximately $112,000 USD).

We started working together around December 2023, and the engagement is ongoing.

We haven't launched the app yet, so we don't have any metrics. As for the quality of their work, Memory Squared has been very on-point and flexible. Whenever we've had issues with bureaucracy, they've put their team on hold so that we don't waste money. Moreover, whenever there have been points on which we disagree, they always focus on solving differences very quickly.

I've worked with multiple other agencies on other projects, but now I'll come back to Memory Squared when needed.

Memory Squared is very communicative, and they're better at sticking to the schedule than I am. We use Asana and Figma to collaborate. My prototype was originally on Figma, so Memory Squared integrated it into their workflow -- they were really flexible about that as well. Something that has helped Memory Squared a lot is that everything they need is already on Figma.

We also use Google Workspace to exchange documents and texts. Although we have meetings every two weeks via Google Meet, most of our communication is text.

I would like to give a shout-out to Mateusz.

Memory Squared's most impressive assets are their people and the way they figure things out. They've been very polite, so I've never felt like I'm working with a company. Instead, I feel like I'm working with friends.

I don't have anything for them to improve.

Don't look any further.

I would rate them higher if I could.","5"
