id,nom,url_profil,ville,service_type,date_ajout
"1","Memory Squared","https://clutch.co/profile/memory-squared","Lille","mobile","2026-09-01"
"2","SolveIt","https://clutch.co/profile/solveit","Lille","mobile","2026-09-01"
"3","Build Me App","https://clutch.co/profile/build-me-app","Lille","mobile","2026-09-01"
"4","Atelier256","https://clutch.co/profile/atelier256","Neuville-en-Ferrain","mobile","2026-09-01"
"5","Niji","https://clutch.co/profile/niji","Lille","mobile","2026-09-01"
"6","Kode Creators","https://clutch.co/profile/kode-creators","Lille","mobile","2026-09-01"
"7","Altar.io","https://clutch.co/profile/altario","Lille","mobile","2026-09-01"
"8","Web Maniac","https://clutch.co/profile/web-maniac","Lille","mobile","2026-09-01"
"9","Dernier Cri","https://clutch.co/profile/dernier-cri","Lille","mobile","2026-09-01"
"10","Contraste Europe","https://clutch.co/profile/contraste-europe","Marcq-en-Barœul","mobile","2026-09-01"
"11","Les Fabricants","https://clutch.co/profile/les-fabricants","Villeneuve-d'Ascq","mobile","2026-09-01"
"12","Nutshel Lab","https://clutch.co/profile/nutshell-lab","Lille","mobile","2026-09-01"
"13","SLASH CONSULTING","https://clutch.co/profile/slash-consulting","Lille","mobile","2026-09-01"
"14","SensioLabs","https://clutch.co/profile/sensiolabs","Lille","mobile","2026-09-01"
"15","ATECNA","https://clutch.co/profile/atecna","Wasquhal","mobile","2026-09-01"
"16","Celaneo","https://clutch.co/profile/celaneo","Valenciennes","mobile","2026-09-01"
"17","Ideine","https://clutch.co/profile/ideine","Roubaix","mobile","2026-09-01"
"18","User Agency","https://clutch.co/profile/user-agency","Marcq-en-Barœul","mobile","2026-09-01"
"19","Whatson Web","https://clutch.co/profile/whatson-web","Saint-André-lez-Lille","mobile","2026-09-01"
"20","La mobilery","https://clutch.co/profile/la-mobilery","Tourcoing","mobile","2026-09-01"
"21","Tymate","https://clutch.co/profile/tymate","Lille","mobile","2026-09-01"
"22","Inov Agency","https://clutch.co/profile/inov-agncy","Lille","mobile","2026-09-01"
"23","Tigre Blac","https://clutch.co/profile/tigre-blanc","Douai","mobile","2026-09-01"
