concurrent,service_type,titre,corps,note
"Build Me App","mobile","Web Development & Design for Lung Health Nonprofit","Build Me App designed and developed a website for a lung health nonprofit. The team implemented the PLCOm2012 risk calculator, a scientific tool that estimates the risk of developing lung cancer. Build Me App delivered the project on time and was responsive. The team demonstrated a supportive approach and communicated via virtual meetings, emails, and messaging apps throughout the engagement. Moreover, Build Me App's timeliness, responsiveness, and quality were impressive.","5"
"Build Me App","mobile","Custom Software Development for Software Company","Build Me App developed a practice management platform for a software company. The team created an EMR platform with AI-generated session notes, a telehealth module, and a scalable backend. Build Me App successfully launched three distinct products within a single development engagement. The team was organized and responsive throughout the engagement. They had a structured development process with clear milestones and proactive communication.","5"
"Build Me App","mobile","Mobile App Design & Development for Software Company","Build Me App has designed and built a mobile app for a software company. The solution is a privacy-first mobile app for adults with ADHD. The team handles the product definition, UX strategy, and visual design. Build Me App has delivered a working mobile app with a secure backend. The client can see weekly mood trends within days. The team manages the project well and keeps communication clear and timely. They run regular check-ins, respond quickly, and deliver work on schedule for the agreed milestones.","5"
"Build Me App","mobile","App Dev for AV Solutions & Event Prod Firm","Build Me App built an app for an AV solutions and event production firm's client. The app allowed event attendees to input their name, email, and city of departure to see their flight path on a giant screen. Build Me App delivered an app that was widely used at the event, enabling the end client to capture over 150 leads. The client also gained a new client inquiry as a result of the project. Moreover, the team met deadlines, responded promptly to the client's queries, and implemented requests quickly.","5"
"Build Me App","mobile","Mobile App Dev & Digital Mktg for Home Maintenance Platform","Build Me App has assisted a home maintenance platform in designing their logo and home page, developing a mobile app, integrating AI features, launching the app on app stores, and creating a marketing strategy. Build Me App is still working on the project, but has delivered outputs on time so far. The team demonstrates professionalism, helpfulness, attention to detail and genuine passion for the process. They also promptly address the client's concerns and send accurate, timely invoices.","5"
"Build Me App","mobile","Mobile App Design & Dev for Expense Mgmt Company","Build Me App was hired by an expense management and budgeting app company to design and develop their mobile app. The team created wireframes, built the app for iOS and Android, and conducted QA testing. The app went live and attracted new users every day. Build Me App demonstrated professional and organized project management. They followed a structured development plan, provided regular progress updates, and maintained transparent communication. They were responsive to feedback and requests.","5"
"Build Me App","mobile","SEO, PPC, SMM & Web Redesign for Mental Health Clinic","Build Me App provides PPC, SEO, social media management, web development, and design for a mental health clinic. The team has updated the client's website and handled SEO and PPC campaigns on Google and Meta. Thanks to Build Me App's efforts, the client has seen increased website traffic, Google search rankings, social media engagement, lead generation, and conversion growth. The team is organized, responsive, and professional, and provides timely items. Build Me App's flexibility stands out.","5"
"Build Me App","mobile","No content available","Rescued the website, improved the content, SEO and social media presence.

#### SOLUTION

**How did you find Build Me App?**

Online Search

**Why did you select Build Me App over others?**

  * Pricing fit our budget
  * Good value for cost
  * Company values aligned
  * Customer Service

**How many teammates from Build Me App were assigned to this project?**

6-10 Employees

**Describe the scope of work in detail. Please include a summary of key deliverables.**

BuildMeApp handled updating out website design and development, SEO, digital marketing, and social media management. They helped to  update our modern, responsive site, implemented SEO strategies to boost visibility, and ran targeted ad campaigns. They also managed our social media content and engagement.

Key Deliverables:L  
Custom, mobile-friendly website                                   SEO setup and optimization  
Google & Meta ad campaigns  
Social media content and management  
Ongoing support and performance tracking

#### RESULTS & FEEDBACK

**What were the measurable outcomes from the project that demonstrate progress or success?**

Since working with BuildMeApp, we've seen an increase in website traffic, improved Google search rankings, and higher engagement across our social media channels. Our lead generation has increased month-over-month, and our ad campaigns are delivering strong ROI with consistent conversion growth. Our website has also improved user experience and reduced bounce rates.

**Describe their project management. Did they deliver items on time? How did they respond to your needs?**

BuildMeApp was highly organized and responsive throughout the project. They communicated clearly, kept us updated with regular progress reports, and delivered all items on time. Whenever we had questions or needed changes, they responded quickly and adapted to our needs with flexibility and professionalism.

**What was your primary form of communication with Build Me App?**

Virtual Meeting

**What did you find most impressive or unique about this company?**

We were most impressed by Build Me App's exceptional customer service and responsiveness. They were always willing to make changes as needed and consistently went above and beyond to ensure our satisfaction. Their flexibility and commitment to client success truly set them ap

**Are there any areas for improvement or something Build Me App could have done differently?**

Overall, my experience with BuildMeApp has been very positive. One area that started off with room for growth was the digital marketing strategy. To their credit, the team took our feedback seriously and made significant improvements over time. With these refinements, we are now seeing stronger results and better overall performance. Their proactive attitude and commitment to growth have truly stood out.","5"
"Build Me App","mobile","Web Dev, Mobile App Design & Development for Shipping Co","Build Me App has designed and developed iOS and Android apps for a shipping company. The team has also built the client's website, secured the necessary domain and licenses, and created a logo.

Build Me App has launched the app in the App Store and is about to launch the Android version in the Google Play Store. The team delivers good work quality and has executed the client's vision. Build Me App is attentive and showcases good project management and impressive communication.

A Clutch analyst personally interviewed this client over the phone. Below is an edited transcript. 

#### BACKGROUND

**Introduce your business and what you do there.**

I am the CEO of Me To U Delivery & Shipping Inc. We provide a platform that enables people to send items from one place to another using a network of delivery people. We operate Canada-wide with two mobile applications -- one for customers and one for delivery personnel.

#### OPPORTUNITY / CHALLENGE

**What challenge were you trying to address with Build Me App?**

I needed a reliable partner who could take care of everything needed to launch my startup successfully -- from branding to product development to marketing. The challenge was finding a team that could handle the end-to-end process under one roof and deliver at a high standard.

#### SOLUTION

**What was the scope of their involvement?**

Build Me App handled every aspect of my startup, including branding, prototyping, website design and development, mobile app development for both iOS and Android, testing, and digital marketing. We launched our MVP successfully, with apps available on both the Apple App Store and Google Play Store for customers and delivery personnel.

**What is the team composition?**

We work with about five teammates from the marketing team and three from the development team, including Imran.

**How did you come to work with Build Me App?**

I found them through a referral. I chose Build Me App because I found them to be honest and reliable.

**What is the status of this engagement?**

The engagement is ongoing. We have launched our MVP and are now actively developing additional features while continuing with digital marketing efforts.

#### RESULTS & FEEDBACK

**What evidence can you share that demonstrates the impact of the engagement?**

The iOS app is available on the App Store, and the Android version is being supported. Build Me App should launch the Android app in the Google Play Store by the end of the week.  
  
The quality of Build Me App's work is good. We're mostly testing the app with family and friends before putting it in the public. We want to ensure it's perfect and ready for the market before we present it to the people.

**How did Build Me App perform from a project management standpoint?**

The project management is excellent. The team is very attentive and cooperative.  Working with Build Me App has been an excellent experience. Imran and his team have been extremely supportive, responsive, and reliable throughout the process. Over time, the relationship has grown into a strong partnership built on trust, transparency, and consistent delivery.

**What did you find most impressive about them?  **

Build Me App's biggest strength is their communication. The team has delivered good-quality work. They should keep doing what they are doing. They are the best.

**Are there any areas they could improve?**

No, they're doing their best. I see no faults with the team's work, and the manager is doing an excellent job.

**Do you have any advice for potential customers?**

Trust them. If you're a startup founder looking for a true partner who can guide you from idea to launch and beyond, Build Me App is the company to go to. They provide everything you need under one roof and deliver with quality and care.","5"
"Build Me App","mobile","Mobile App Development for IT Services Company","Build Me App Inc. developed a social media mobile application for an IT services company. The team built the app from scratch, managing the design, functionalities, and backend infrastructure.

The client was extremely pleased with Build Me App Inc.'s work; the application exceeded expectations and received positive feedback from users. The team was transparent, helpful, competent, responsive, and open to communication. They consistently delivered on time and ensured a smooth workflow.

The client submitted this review online. 

#### BACKGROUND

**Please describe your company and position.**

I am the CEO of an it services company 

**Describe what your company does in a single sentence.**

The development and operation of application software, especially for smartphones, as well as the programming and creation of websites.

#### OPPORTUNITY / CHALLENGE

**What specific goals or objectives did you hire Build Me App Inc. to accomplish?**

  * The development of a mobile app.

#### SOLUTION

**How did you find Build Me App Inc.?**

Online Search

**Why did you select Build Me App Inc. over others?**

  * Good value for cost
  * Good impression

**How many teammates from Build Me App Inc. were assigned to this project?**

2-5 Employees

**Describe the scope of work in detail. Please include a summary of key deliverables.**

The project focused on developing a mobile app in the Social Media sector, starting from scratch. The 'Build Me App' team managed the design, functionalities, and established the infrastructure for the backend.

#### RESULTS & FEEDBACK

**What were the measurable outcomes from the project that demonstrate progress or success?**

I am extremely pleased with my collaboration with the 'Build Me App' team. The positive reviews we've received for the mobile app are a testament to the excellent work they've done. Additionally, the app's performance has exceeded expectations, providing users with a smooth and efficient experience. Notably, we've seen a remarkable increase in download numbers, demonstrating the widespread adoption and success of our app.

**Describe their project management. Did they deliver items on time? How did they respond to your needs?**

From the beginning, everything was very transparent in terms of communication, and I could always reach out to ask questions or if I had concerns about something. This is not typical, I think, that you can reach out at any time and receive an answer within a few hours at the latest. They quickly and consistently try to help out and get things done as soon as possible.  
  
They also ensure that all requirements are correct and finalized in the best possible way. In terms of knowledge, they seem to be very competent and have a wide variety of skills; they really know what they are doing. I am very happy with what I received from them. I can't remember having any problems with timelines.  
  
I also had the feeling that they really care about me and my product and I could always reach out for a conversation to clear open questions. In my opinion, they are very trustworthy and honest. I had a safe feeling with them.

**What was your primary form of communication with Build Me App Inc.?**

  * Virtual Meeting
  * Email or Messaging App

**What did you find most impressive or unique about this company?**

Their communication and technical knowledge were remarkable.

**Are there any areas for improvement or something Build Me App Inc. could have done differently?**

No.","5"
